id,kind,btw,opslag,ode,eb,start_date,end_date
2,g,21,0.08,0.0023,0.1862,2013-01-01,2013-12-31
3,g,21,0.08,0.0046,0.1894,2014-01-01,2014-12-31
4,g,21,0.08,0.0074,0.1911,2015-01-01,2015-12-31
5,g,21,0.08,0.0113,0.25168,2016-01-01,2016-12-31
6,g,21,0.08,0.015900826446281,0.252438016528926,2017-01-01,2017-12-31
7,g,21,0.08,0.028504132231405,0.26000826446281,2018-01-01,2018-12-31
8,g,21,0.08,0.052396694214876,0.293132231404959,2019-01-01,2019-12-31
9,g,21,0.08,0.077504132231405,0.333066115702479,2020-01-01,2020-12-31
10,g,21,0.08,0.085099173553719,0.348561983471074,2021-01-01,2021-12-31
11,e,21,0.014,0.0011,0.1165,2013-01-01,2013-12-31
12,e,21,0.014,0.0023,0.1185,2014-01-01,2014-12-31
13,e,21,0.014,0.0036,0.1196,2015-01-01,2015-12-31
14,e,21,0.014,0.0056,0.1007,2016-01-01,2016-12-31
15,e,21,0.014,0.0074,0.1013,2017-01-01,2017-12-31
16,e,21,0.014,0.0132,0.10458,2018-01-01,2018-12-31
17,e,21,0.014,0.0189,0.09863,2019-01-01,2019-12-31
18,e,21,0.014,0.0273,0.0977,2020-01-01,2020-12-31
19,e,21,0.014,0.03,0.09428,2021-01-01,2021-12-31
20,e,21,0.014,0.0305,0.03679,2022-01-01,2022-06-30
21,e,9,0.014,0.0305,0.03679,2022-07-01,2022-08-31
22,e,9,0.021,0.0305,0.03679,2022-09-01,2022-12-31
23,g,21,0.08,0.086504132231405,0.363223140495868,2022-01-01,2022-06-30
24,g,9,0.08,0.086504132231405,0.363223140495868,2022-07-01,2022-08-31
25,g,9,0.12,0.086504132231405,0.363223140495868,2022-09-01,2022-12-31
26,e,21,0.0135,0,0.0509,2023-01-01,2023-12-31
